iter	Passed	Remaining
917	38995	3483
918	39035	3440
919	39075	3397
920	39114	3355
921	39154	3312
922	39194	3269
923	39235	3227
924	39275	3184
925	39320	3142
926	39364	3099
927	39406	3057
928	39451	3015
929	39492	2972
930	39537	2930
931	39579	2887
932	39618	2845
933	39658	2802
934	39701	2759
935	39742	2717
936	39785	2675
937	39831	2632
938	39872	2590
939	39915	2547
940	39957	2505
941	39998	2462
942	40037	2420
943	40081	2377
944	40123	2335
945	40170	2293
946	40211	2250
947	40252	2207
948	40296	2165
949	40335	2122
950	40377	2080
951	40418	2037
952	40462	1995
953	40505	1953
954	40545	1910
955	40584	1867
956	40632	1825
957	40678	1783
958	40722	1741
959	40769	1698
960	40810	1656
961	40851	1613
962	40901	1571
963	40944	1529
964	40993	1486
965	41039	1444
966	41083	1402
967	41135	1359
968	41193	1317
969	41242	1275
970	41285	1233
971	41326	1190
972	41369	1147
973	41414	1105
974	41459	1063
975	41504	1020
976	41548	978
977	41592	935
978	41637	893
979	41680	850
980	41719	808
981	41762	765
982	41805	722
983	41845	680
984	41883	637
985	41922	595
986	41966	552
987	42007	510
988	42047	467
989	42091	425
990	42133	382
991	42176	340
992	42217	297
993	42258	255
994	42297	212
995	42340	170
996	42379	127
997	42421	85
998	42464	42
999	42505	0
